category,building_code,room_number,room_code,floor_code,floor_label,gender_policy,room_type,status,monthly_price,yearly_price,public_visible,source_row,notes
rukost,01,1,RK-01-B-001,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,2,
rukost,01,2,RK-01-B-002,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,3,
rukost,01,3,RK-01-B-003,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,4,
rukost,01,4,RK-01-B-004,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,5,
rukost,01,5,RK-01-B-005,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,6,
rukost,01,6,RK-01-A-006,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,7,
rukost,01,7,RK-01-A-007,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,8,
rukost,01,8,RK-01-A-008,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,9,
rukost,01,9,RK-01-A-009,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,10,
rukost,01,10,RK-01-A-010,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,11,
rukost,01,11,RK-01-A-011,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,12,
rukost,02,1,RK-02-B-001,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,13,
rukost,02,2,RK-02-B-002,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,14,
rukost,02,3,RK-02-B-003,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,15,
rukost,02,4,RK-02-B-004,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,16,
rukost,02,5,RK-02-A-005,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,17,
rukost,02,6,RK-02-A-006,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,18,
rukost,02,7,RK-02-A-007,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,19,
rukost,02,8,RK-02-A-008,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,20,
rukost,03,1,RK-03-B-001,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,21,
rukost,03,2,RK-03-B-002,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,22,
rukost,03,3,RK-03-B-003,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,23,
rukost,03,4,RK-03-B-004,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,24,
rukost,03,5,RK-03-A-005,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,25,
rukost,03,6,RK-03-A-006,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,26,
rukost,03,7,RK-03-A-007,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,27,
rukost,03,8,RK-03-A-008,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,28,
rukost,04,1,RK-04-B-001,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,29,
rukost,04,2,RK-04-B-002,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,30,
rukost,04,3,RK-04-B-003,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,31,
rukost,04,4,RK-04-A-004,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,32,
rukost,04,5,RK-04-A-005,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,33,
rukost,04,6,RK-04-A-006,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,34,
rukost,04,7,RK-04-A-007,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,35,
rukost,06,1,RK-06-B-001,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,36,
rukost,06,2,RK-06-B-002,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,37,
rukost,06,3,RK-06-B-003,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,38,
rukost,06,4,RK-06-A-004,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,39,
rukost,06,5,RK-06-A-005,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,40,
rukost,06,6,RK-06-A-006,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,41,
rukost,06,7,RK-06-A-007,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,42,
rukost,07,1,RK-07-B-001,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,43,
rukost,07,2,RK-07-B-002,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,44,
rukost,07,3,RK-07-B-003,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,45,
rukost,07,4,RK-07-A-004,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,46,
rukost,07,5,RK-07-A-005,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,47,
rukost,07,6,RK-07-A-006,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,48,
rukost,07,7,RK-07-A-007,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,49,
rukost,08,1,RK-08-B-001,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,50,
rukost,08,2,RK-08-B-002,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,51,
rukost,08,3,RK-08-B-003,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,52,
rukost,08,4,RK-08-A-004,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,53,
rukost,08,5,RK-08-A-005,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,54,
rukost,08,6,RK-08-A-006,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,55,
rukost,08,7,RK-08-A-007,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,56,
rukost,09,1,RK-09-B-001,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,57,
rukost,09,2,RK-09-B-002,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,58,
rukost,09,3,RK-09-B-003,B,Lantai Bawah / LT.1,putri,standard,vacant,1800000,21600000,true,59,
rukost,09,4,RK-09-A-004,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,60,
rukost,09,5,RK-09-A-005,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,61,
rukost,09,6,RK-09-A-006,A,Lantai Atas / LT.2,putri,standard,vacant,1800000,21600000,true,62,
rukost,10,1,RK-10-B-001,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,63,
rukost,10,2,RK-10-B-002,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,64,
rukost,10,3,RK-10-B-003,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,65,
rukost,10,4,RK-10-B-004,B,Lantai Bawah / LT.1,putra,standard,vacant,1800000,21600000,true,66,
rukost,10,5,RK-10-A-005,A,Lantai Atas / LT.2,putra,standard,vacant,1800000,21600000,true,67,
